Channel	x	y	Board
0	0	7	0
1	1	7	0
2	2	7	0
3	3	7	0
4	4	7	0
5	5	7	0
6	6	7	0
7	7	7	0
8	0	7	0
9	1	6	0
10	2	6	0
11	3	6	0
12	4	6	0
13	5	6	0
14	6	6	0
15	7	6	0
16	0	5	0
17	1	5	0
18	2	4	0
19	3	4	0
20	4	4	0
21	5	4	0
22	6	5	0
23	7	5	0
24	0	4	0
25	1	4	0
26	2	5	0
27	3	5	0
28	4	5	0
29	5	5	0
30	6	4	0
31	7	4	0
32	0	3	0
33	1	3	0
34	2	2	0
35	3	2	0
36	4	2	0
37	5	2	0
38	6	3	0
39	7	3	0
40	0	2	0
41	1	2	0
42	2	3	0
43	3	3	0
44	4	3	0
45	5	3	0
46	6	2	0
47	7	2	0
48	0	1	0
49	1	1	0
50	2	1	0
51	3	1	0
52	4	1	0
53	5	1	0
54	6	1	0
55	7	1	0
56	0	0	0
57	1	0	0
58	2	0	0
59	3	0	0
60	4	0	0
61	5	0	0
62	6	0	0
63	7	0	0
0	0	7	1
1	1	7	1
2	2	7	1
3	3	7	1
4	4	7	1
5	5	7	1
6	6	7	1
7	7	7	1
8	0	7	1
9	1	6	1
10	2	6	1
11	3	6	1
12	4	6	1
13	5	6	1
14	6	6	1
15	7	6	1
16	0	5	1
17	1	5	1
18	2	4	1
19	3	4	1
20	4	4	1
21	5	4	1
22	6	5	1
23	7	5	1
24	0	4	1
25	1	4	1
26	2	5	1
27	3	5	1
28	4	5	1
29	5	5	1
30	6	4	1
31	7	4	1
32	0	3	1
33	1	3	1
34	2	2	1
35	3	2	1
36	4	2	1
37	5	2	1
38	6	3	1
39	7	3	1
40	0	2	1
41	1	2	1
42	2	3	1
43	3	3	1
44	4	3	1
45	5	3	1
46	6	2	1
47	7	2	1
48	0	1	1
49	1	1	1
50	2	1	1
51	3	1	1
52	4	1	1
53	5	1	1
54	6	1	1
55	7	1	1
56	0	0	1
57	1	0	1
58	2	0	1
59	3	0	1
60	4	0	1
61	5	0	1
62	6	0	1
63	7	0	1
0	0.5	1	2
1	-0.5	-1	2
2	-1	0	2
3	-0.5	1	2
4	0	0	2
5	1	0	2
6	0.5	-1	2
